id,name,type1,type2,hp,attack,defense,sp_attack,sp_defense,speed,height,weight,abilities,description
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45,7,69,"Overgrow, Chlorophyll",A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
2,Ivysaur,Grass,Poison,60,62,63,80,80,60,10,130,"Overgrow, Chlorophyll","When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
3,Venusaur,Grass,Poison,80,82,83,100,100,80,20,1000,"Overgrow, Chlorophyll",The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
4,Charmander,Fire,,39,52,43,60,50,65,6,85,"Blaze, Solar Power","Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
5,Charmeleon,Fire,,58,64,58,80,65,80,11,190,"Blaze, Solar Power","When it swings its burning tail, it elevates the temperature to unbearably high levels."
6,Charizard,Fire,Flying,78,84,78,109,85,100,17,905,"Blaze, Solar Power",Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
7,Squirtle,Water,,44,48,65,50,64,43,5,90,"Torrent, Rain Dish","After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
8,Wartortle,Water,,59,63,80,65,80,58,10,225,"Torrent, Rain Dish","Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
9,Blastoise,Water,,79,83,100,85,105,78,16,855,"Torrent, Rain Dish",A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
10,Caterpie,Bug,,45,30,35,20,20,45,3,29,"Shield Dust, Run Away",Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
11,Metapod,Bug,,50,20,55,25,25,30,7,99,Shed Skin,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
12,Butterfree,Bug,Flying,60,45,50,90,80,70,11,320,"Compound Eyes, Tinted Lens","In battle, it flaps its wings at high speed to release highly toxic dust into the air."
13,Weedle,Bug,Poison,40,35,30,20,20,50,3,32,"Shield Dust, Run Away","Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
14,Kakuna,Bug,Poison,45,25,50,25,25,35,6,100,Shed Skin,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
15,Beedrill,Bug,Poison,65,90,40,45,80,75,10,295,"Swarm, Sniper",It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
16,Pidgey,Normal,Flying,40,45,40,35,35,56,3,18,"Keen Eye, Tangled Feet",A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71,11,300,"Keen Eye, Tangled Feet","Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
18,Pidgeot,Normal,Flying,83,80,75,70,70,101,15,395,"Keen Eye, Tangled Feet","When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
19,Rattata,Normal,,30,56,35,25,35,72,3,35,"Run Away, Guts","Bites anything when it attacks. Small and very quick, it is a common sight in many places."
20,Raticate,Normal,,55,81,60,50,70,97,7,185,"Run Away, Guts",It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
21,Spearow,Normal,Flying,40,60,30,31,31,70,3,20,"Keen Eye, Sniper","It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
22,Fearow,Normal,Flying,65,90,65,61,61,100,12,380,"Keen Eye, Sniper","With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
23,Ekans,Poison,,35,60,44,40,54,55,20,69,"Intimidate, Shed Skin","Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
24,Arbok,Poison,,60,95,69,65,79,80,35,650,"Intimidate, Shed Skin",It is rumored that the ferocious warning markings on its belly differ from area to area.
25,Pikachu,Electric,,35,55,40,50,50,90,4,60,"Static, Lightning Rod","When several of these POKéMON gather, their electricity could build and cause lightning storms."
26,Raichu,Electric,,60,90,55,90,80,110,8,300,"Static, Lightning Rod",Its long tail serves as a ground to protect itself from its own high-voltage power.
27,Sandshrew,Ground,,50,75,85,20,30,40,6,120,"Sand Veil, Sand Rush",Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
28,Sandslash,Ground,,75,100,110,45,55,65,10,295,"Sand Veil, Sand Rush",Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
29,Nidoran-f,Poison,,55,47,52,40,40,41,4,70,"Poison Point, Rivalry","Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
30,Nidorina,Poison,,70,62,67,55,55,56,8,200,"Poison Point, Rivalry",The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76,13,600,"Poison Point, Rivalry",Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
32,Nidoran-m,Poison,,46,57,40,40,40,50,5,90,"Poison Point, Rivalry","Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
33,Nidorino,Poison,,61,72,57,55,55,65,9,195,"Poison Point, Rivalry",An aggressive POKéMON that is quick to attack. The horn on its head secretes a powerful venom.
34,Nidoking,Poison,Ground,81,102,77,85,75,85,14,620,"Poison Point, Rivalry","It uses its powerful tail in battle to smash, constrict, then break the prey's bones."
35,Clefairy,Fairy,,70,45,48,60,65,35,6,75,"Cute Charm, Magic Guard",Its magical and cute appeal has many admirers. It is rare and found only in certain areas.
36,Clefable,Fairy,,95,70,73,95,90,60,13,400,"Cute Charm, Magic Guard",A timid fairy POKéMON that is rarely seen. It will run and hide the moment it senses people.
37,Vulpix,Fire,,38,41,40,50,65,65,6,99,"Flash Fire, Drought","At the time of birth, it has just one tail. The tail splits from its tip as it grows older."
38,Ninetales,Fire,,73,76,75,81,100,100,11,199,"Flash Fire, Drought",Very smart and very vengeful. Grabbing one of its many tails could result in a 1000-year curse.
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20,5,55,"Cute Charm, Competitive","When its huge eyes light up, it sings a mysteriously soothing melody that lulls its enemies to sleep."
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45,10,120,"Cute Charm, Competitive","The body is soft and rubbery. When angered, it will suck in air and inflate itself to an enormous size."
41,Zubat,Poison,Flying,40,45,35,30,40,55,8,75,"Inner Focus, Infiltrator",Forms colonies in perpetually dark places. Uses ultrasonic waves to identify and approach targets.
42,Golbat,Poison,Flying,75,80,70,65,75,90,16,550,"Inner Focus, Infiltrator","Once it strikes, it will not stop draining energy from the victim even if it gets too heavy to fly."
43,Oddish,Grass,Poison,45,50,55,75,65,30,5,54,"Chlorophyll, Run Away","During the day, it keeps its face buried in the ground. At night, it wanders around sowing its seeds."
44,Gloom,Grass,Poison,60,65,70,85,75,40,8,86,"Chlorophyll, Stench",The fluid that oozes from its mouth isn't drool. It is a nectar that is used to attract prey.
45,Vileplume,Grass,Poison,75,80,85,110,90,50,12,186,"Chlorophyll, Effect Spore","It has the world’s largest petals. With every step, the petals shake out heavy clouds of toxic pollen."
46,Paras,Bug,Grass,35,70,55,45,55,25,3,54,"Effect Spore, Dry Skin",Burrows to suck tree roots. The mushrooms on its back grow by draw­ ing nutrients from the bug host.
47,Parasect,Bug,Grass,60,95,80,60,80,30,10,295,"Effect Spore, Dry Skin",A host-parasite pair in which the parasite mushroom has taken over the host bug. Prefers damp places.
48,Venonat,Bug,Poison,60,55,50,40,55,45,10,300,"Compound Eyes, Tinted Lens",Lives in the shadows of tall trees where it eats insects. It is attracted by light at night.
